Benchmark;Mode;Threads;Samples;Score;Score Error (99,9%);Unit;Param: expectedElementsCount
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;avgt;1;5;90,53449;10,642397;us/op;25000
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;avgt;1;5;182,256213;6,689649;us/op;50000
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;avgt;1;5;353,679494;48,548886;us/op;100000
com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage;avgt;1;5;262,905776;97,009371;us/op;10
com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage;avgt;1;5;206,983497;16,12498;us/op;25
com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage;avgt;1;5;217,037756;26,605993;us/op;50
com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage;avgt;1;5;219,624509;41,442193;us/op;100
com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage;avgt;1;5;317,382793;23,205888;us/op;1000
com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage;avgt;1;5;411,770427;41,698356;us/op;2000
com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage;avgt;1;5;732,031971;174,475433;us/op;5000
com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage;avgt;1;5;1276,665159;126,099437;us/op;10000
com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage;avgt;1;5;2826,190936;95,484482;us/op;25000
com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage;avgt;1;5;5398,298673;197,406173;us/op;50000
com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage;avgt;1;5;10359,47982;303,047225;us/op;100000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;0,52888;0,033715;us/op;10
com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;1,22682;0,075699;us/op;25
com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;2,44595;0,027364;us/op;50
com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;5,294511;1,079285;us/op;100
com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;48,05177;3,155344;us/op;1000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;285,852858;49,656957;us/op;2000
