Benchmark;Mode;Threads;Samples;Score;Score Error (99,9%);Unit;Param: expectedElementsCount;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;ss;1;5;6165,46;3326,683518;us/op;50000;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;ss;1;5;12977,58;2822,026014;us/op;100000;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;23,16;84,922458;us/op;10;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;35,18;55,430818;us/op;25;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;88,96;322,504659;us/op;50;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;76,04;262,128269;us/op;100;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;256,74;248,220763;us/op;1000;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;313,78;542,674556;us/op;2000;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;564,96;492,14036;us/op;5000;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;778,56;1408,650828;us/op;10000;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;387,48;415,657206;us/op;25000;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;642,38;217,443002;us/op;50000;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;1329,24;570,903162;us/op;100000;;;;;;;;;;;;;;;;;
