"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: expectedElementsCount"
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage","avgt",1,5,"78,763748","74,354252","us/op",10
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage","avgt",1,5,"81,532341","74,394070","us/op",25
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage","avgt",1,5,"78,650080","63,430776","us/op",50
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage","avgt",1,5,"81,285710","75,373325","us/op",100
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage","avgt",1,5,"122,317791","80,469118","us/op",1000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage","avgt",1,5,"158,322719","95,550493","us/op",2000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage","avgt",1,5,"279,276076","95,042670","us/op",5000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage","avgt",1,5,"490,185571","113,688994","us/op",10000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage","avgt",1,5,"1179,140814","59,136367","us/op",25000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage","avgt",1,5,"2154,101710","282,247625","us/op",50000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage","avgt",1,5,"4228,475884","562,485545","us/op",100000
"com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage","ss",1,5,"652,060000","257,220363","us/op",10
"com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage","ss",1,5,"634,100000","251,010450","us/op",25
"com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage","ss",1,5,"677,080000","203,808476","us/op",50
"com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage","ss",1,5,"663,820000","317,726009","us/op",100
"com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage","ss",1,5,"682,460000","350,990429","us/op",1000
"com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage","ss",1,5,"713,440000","379,406332","us/op",2000
"com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage","ss",1,5,"882,640000","351,238001","us/op",5000
"com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage","ss",1,5,"1090,940000","327,362330","us/op",10000
"com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage","ss",1,5,"1478,680000","469,602754","us/op",25000
"com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage","ss",1,5,"2364,220000","815,952602","us/op",50000
"com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage","ss",1,5,"4320,460000","1522,425248","us/op",100000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation","ss",1,5,"29,860000","59,975309","us/op",10
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation","ss",1,5,"33,280000","24,867827","us/op",25
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation","ss",1,5,"46,320000","87,336815","us/op",50
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation","ss",1,5,"51,700000","95,578226","us/op",100
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation","ss",1,5,"226,680000","165,944750","us/op",1000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation","ss",1,5,"272,340000","401,394547","us/op",2000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation","ss",1,5,"414,660000","129,268589","us/op",5000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation","ss",1,5,"690,460000","469,285181","us/op",10000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation","ss",1,5,"1280,280000","328,621091","us/op",25000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation","ss",1,5,"2657,540000","696,622014","us/op",50000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation","ss",1,5,"6281,860000","5063,705905","us/op",100000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting","ss",1,5,"16,040000","80,730750","us/op",10
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting","ss",1,5,"17,240000","30,499920","us/op",25
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting","ss",1,5,"34,300000","57,792380","us/op",50
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting","ss",1,5,"29,160000","82,032544","us/op",100
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting","ss",1,5,"137,420000","144,581912","us/op",1000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting","ss",1,5,"200,040000","202,299324","us/op",2000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting","ss",1,5,"374,940000","291,365608","us/op",5000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting","ss",1,5,"579,860000","985,966931","us/op",10000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting","ss",1,5,"354,720000","136,277003","us/op",25000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting","ss",1,5,"663,000000","860,521828","us/op",50000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting","ss",1,5,"1125,560000","4082,952712","us/op",100000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting","ss",1,5,"11,180000","38,549158","us/op",10
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting","ss",1,5,"19,040000","28,376921","us/op",25
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting","ss",1,5,"37,780000","77,208724","us/op",50
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting","ss",1,5,"28,740000","85,807001","us/op",100
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting","ss",1,5,"156,800000","149,385879","us/op",1000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting","ss",1,5,"196,680000","391,662015","us/op",2000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting","ss",1,5,"333,800000","186,983558","us/op",5000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting","ss",1,5,"565,400000","923,269072","us/op",10000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting","ss",1,5,"352,560000","95,958943","us/op",25000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting","ss",1,5,"592,560000","696,192940","us/op",50000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting","ss",1,5,"1187,320000","3835,454257","us/op",100000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage","ss",1,5,"656,480000","300,470461","us/op",10
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage","ss",1,5,"681,940000","225,815169","us/op",25
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage","ss",1,5,"626,420000","219,554316","us/op",50
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage","ss",1,5,"664,140000","34,904765","us/op",100
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage","ss",1,5,"734,820000","435,959338","us/op",1000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage","ss",1,5,"805,680000","266,245980","us/op",2000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage","ss",1,5,"989,560000","280,194957","us/op",5000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage","ss",1,5,"1277,060000","386,119333","us/op",10000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage","ss",1,5,"1727,260000","568,596740","us/op",25000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage","ss",1,5,"3066,520000","1699,230493","us/op",50000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage","ss",1,5,"5363,460000","4674,524256","us/op",100000
